sample_id,unseen_snr_db,actual_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,mean_mask_magnitude,p95_mask_magnitude
S0023,12.5,12.49999997210958,15.539614282443221,3.0396143103336417,0.699406087398529,0.9847690463066101
S0023,17.5,17.499999983482446,19.587951891940946,2.0879519084585,0.5032450556755066,0.9327044486999512
S0023,25.0,24.999999647297045,25.633793020285705,0.6337933729886593,0.3159253001213074,0.861563503742218
S0033,-2.5,-2.499999589933231,-2.0770165550507396,0.42298303488249145,0.412753701210022,0.9560011625289917
S0033,2.5,2.4999999197361484,2.8809382574791833,0.38093833774303487,0.36395055055618286,0.928835391998291
S0033,7.5,7.499999869650209,7.994127642810137,0.49412777315992873,0.2916043698787689,0.8931246995925903
S0033,12.5,12.499999868120973,13.13845468958593,0.6384548214649577,0.26848986744880676,0.8616767525672913
S0033,17.5,17.499999867233555,18.320013104383964,0.820013237150409,0.2494538426399231,0.8089230060577393
S0033,25.0,24.999999894775865,25.951203424016146,0.9512035292402814,0.2150898426771164,0.7230934500694275
S0045,-2.5,-2.4999999306735874,-0.022648039728712963,2.4773518909448744,0.5693545341491699,1.0027656555175781
S0045,2.5,2.4999999374544064,5.027156372930798,2.5271564354763916,0.5187394618988037,0.9823369979858398
S0045,7.5,7.499999722019421,10.25240905096763,2.752409328948209,0.46073490381240845,0.9656354188919067
S0045,12.5,12.500000031851194,15.166461117804273,2.6664610859530793,0.3933655321598053,0.9423012733459473
S0045,17.5,17.500000419804852,19.97388362465988,2.473883204855028,0.33055150508880615,0.8956615328788757
S0045,25.0,25.000000114443687,26.049881016174353,1.049880901730667,0.25412702560424805,0.7604497075080872
S0053,-2.5,-2.500000231352563,0.7728369398815347,3.2728371712340976,0.4345010221004486,0.8771710991859436
S0053,2.5,2.4999999786986176,4.98163337976046,2.4816334010618424,0.38020408153533936,0.8366719484329224
S0053,7.5,7.499999868150904,9.329151823291149,1.8291519551402446,0.31030020117759705,0.8192485570907593
S0053,12.5,12.499999843861563,13.767173968048587,1.267174124187024,0.2984149754047394,0.8111360669136047
S0053,17.5,17.500000316135612,17.950132373686426,0.45013205755081387,0.28632017970085144,0.7926902174949646
S0053,25.0,24.999999574158387,23.305706964936384,-1.6942926092220034,0.2498062402009964,0.739854633808136
S0071,-2.5,-2.4999999055497786,10.7258709001645,13.225870805714278,0.5162081122398376,0.9947437644004822
S0071,2.5,2.5000002288592116,15.115707154601834,12.615706925742622,0.4748939573764801,0.9799352884292603
S0071,7.5,7.499999794111888,18.160647237644206,10.660647443532318,0.45581433176994324,0.9576407670974731
S0071,12.5,12.500000266113746,21.49014129354928,8.990141027435532,0.3848332166671753,0.9155020117759705
S0071,17.5,17.50000008301647,25.285486425688756,7.785486342672286,0.3139903247356415,0.8494244813919067
S0071,25.0,24.999999762258277,29.05345720157923,4.053457439320955,0.2657807469367981,0.8093681335449219
S0078,-2.5,-2.500000021744733,9.100617790097438,11.60061781184217,0.41744640469551086,0.9537831544876099
S0078,2.5,2.500000208425352,11.903794596596766,9.403794388171415,0.39460763335227966,0.9408971667289734
S0078,7.5,7.49999945896858,15.223886035953175,7.723886576984595,0.34714964032173157,0.9165887236595154
S0078,12.5,12.499997892853852,16.43927085988122,3.9392729670273674,0.18845704197883606,0.6876062154769897
S0078,17.5,17.499992898445775,18.337890162262415,0.8378972638166395,0.10502368211746216,0.40106961131095886
S0078,25.0,24.999959239751007,24.45270980600902,-0.5472494337419853,0.08818382024765015,0.35639700293540955
S0081,-2.5,-2.499999715202617,-0.09480768962677416,2.4051920255758428,0.93882155418396,1.0739314556121826
S0081,2.5,2.499999843493303,4.510665246727038,2.010665403233735,0.9122881889343262,1.0916537046432495
S0081,7.5,7.499999980390106,9.059290277472924,1.5592902970828177,0.8328192830085754,1.0610328912734985
S0081,12.5,12.499999929192775,13.630645588590596,1.1306456593978211,0.6750245094299316,1.004807710647583
S0081,17.5,17.50000013778439,17.685024548927913,0.18502441114352308,0.48463350534439087,0.9479930996894836
S0081,25.0,24.99999966302385,22.800902759074106,-2.1990969039497443,0.32799625396728516,0.8811872005462646
S0096,-2.5,-2.499999975894318,7.554637772710876,10.054637748605195,0.4412122964859009,0.9668304324150085
S0096,2.5,2.4999998975166386,14.423718749678534,11.923718852161894,0.44519612193107605,0.9575669765472412
S0096,7.5,7.499999579019692,19.244271306925494,11.744271727905803,0.4253332316875458,0.9498149156570435
S0096,12.5,12.500000287481871,22.578691253248714,10.078690965766842,0.39643511176109314,0.9503998160362244
S0096,17.5,17.500000007544678,25.14062107775971,7.640621070215033,0.3636365234851837,0.9339345693588257
S0096,25.0,24.9999999026738,29.66376198614836,4.663762083474559,0.29804450273513794,0.8918564915657043
S0129,-2.5,-2.4999997591896457,5.628369408959681,8.128369168149327,0.8030958771705627,1.04146409034729
S0129,2.5,2.499999859866215,9.315855571423482,6.815855711557267,0.6755691170692444,1.019016981124878
S0129,7.5,7.49999959539697,12.992183767620066,5.492184172223096,0.5162286162376404,0.9957765936851501
S0129,12.5,12.50000027058121,16.887454866087722,4.387454595506512,0.34986841678619385,0.9357896447181702
S0129,17.5,17.499999763392402,20.312369486113656,2.812369722721254,0.23097074031829834,0.7936944365501404
S0129,25.0,24.99999971655511,25.900913307591882,0.9009135910367725,0.15293146669864655,0.6128955483436584
S0130,-2.5,-2.4999997867567565,4.383688618926196,6.883688405682952,0.34970805048942566,0.9727213382720947
S0130,2.5,2.5000001153393954,10.219370002450493,7.719369887111098,0.3334197700023651,0.9338209629058838
S0130,7.5,7.49999950764037,14.820404304591875,7.320404796951506,0.3019951283931732,0.8280866146087646
S0130,12.5,12.500000325073016,19.08570716449337,6.5857068394203555,0.27935415506362915,0.7157772779464722
S0130,17.5,17.49999952462865,23.50736365156793,6.0073641269392795,0.2652145028114319,0.6704999208450317
S0130,25.0,24.99999817664274,28.729336305075584,3.7293381284328433,0.2487148940563202,0.6207246780395508
S0138,-2.5,-2.5000002144510987,5.213790160007644,7.713790374458743,0.3126251995563507,0.9806393384933472
S0138,2.5,2.500000145408745,8.928660274243704,6.428660128834959,0.2784232795238495,0.9499883651733398
S0138,7.5,7.499999964697875,12.030069512562608,4.530069547864733,0.23362910747528076,0.886792004108429
S0138,12.5,12.499999819126648,15.906983857887768,3.40698403876112,0.18803046643733978,0.7955986857414246
S0138,17.5,17.499999908301916,20.18352101229476,2.6835211039928453,0.15823246538639069,0.7120697498321533
S0138,25.0,24.999998855725828,26.48788477557535,1.4878859198495213,0.13109472393989563,0.6096304655075073
S0157,-2.5,-2.4999996302834777,1.7518937970555122,4.25189342733899,0.4939924478530884,0.9491779804229736
S0157,2.5,2.5000001691418996,7.212609764996669,4.71260959585477,0.49235644936561584,0.970145583152771
S0157,7.5,7.5000003037136995,11.986149982164886,4.486149678451186,0.40127065777778625,0.9294154644012451
S0157,12.5,12.499999770119922,16.287902269621842,3.7879024995019197,0.3213990330696106,0.8766698241233826
S0157,17.5,17.499999929956804,19.990834058923348,2.4908341289665437,0.2727023661136627,0.8085595369338989
S0157,25.0,24.9999999539402,24.85530948633894,-0.14469046760126147,0.24199765920639038,0.7987526655197144
S0164,-2.5,-2.4999997633875015,10.682237973014267,13.182237736401769,0.6237537860870361,1.0105149745941162
S0164,2.5,2.5000001782626073,14.271523550380973,11.771523372118367,0.547034740447998,0.993603527545929
S0164,7.5,7.5000000890916905,17.538538915984496,10.038538826892806,0.4658045172691345,0.9660735726356506
S0164,12.5,12.499999881580662,20.59578482496002,8.095784943379359,0.40912294387817383,0.930303156375885
S0164,17.5,17.499999821678156,24.280860971633686,6.7808611499555305,0.3795882761478424,0.8834620714187622
S0164,25.0,25.000000035197175,28.599705423145675,3.5997053879485,0.31560152769088745,0.8197145462036133
