sample_id,target_snr_db,metadata_measured_snr_db,waveform_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,input_si_snr_db,output_si_snr_db,si_snr_improvement_db,input_stoi,output_stoi,stoi_improvement,stoi_skip_reason,input_pesq,output_pesq,pesq_improvement,pesq_skip_reason,noise_category,max_amplitude_enhanced,rms_enhanced,rms_ratio_enhanced_over_clean,clipped_for_wav,clipping_pct
S0242,0.0,0.0,1.9281655839349647,3.9805171905354992,2.0523516066005345,-1.0321773290634155,2.02366042137146,3.0558377504348755,0.8069471872376444,0.822617572786411,0.015670385548766652,,1.2109125852584839,1.3336519002914429,0.12273931503295898,,siren,0.8547735810279846,0.12806935608386993,0.6641708259469622,False,0.0
S0247,0.0,0.0,1.1793353174314383,4.789327851118481,3.609992533687042,1.1530373096466064,3.62445068359375,2.4714133739471436,0.808415598685829,0.7649842685904819,-0.043431330095347165,,1.1214832067489624,1.1052141189575195,-0.01626908779144287,,siren,0.4754068851470947,0.11421646177768707,1.0061069157105813,False,0.0
S0263,0.0,0.0,0.3836752995861606,3.7374231472709503,3.3537478476847897,0.17250511050224304,2.1325368881225586,1.9600317776203156,0.5968516986375354,0.5653462625351356,-0.03150543610239975,,1.2714831829071045,1.2623072862625122,-0.009175896644592285,,siren,0.43567001819610596,0.054029252380132675,0.9956303348064832,False,0.0
S0269,0.0,0.0,-0.640773359218709,-0.3406754347783652,0.30009792444034383,-0.20895305275917053,0.0003023376048076898,0.20925539036397822,0.8662766687609972,0.8593381400850204,-0.006938528675976774,,1.1037601232528687,1.1096078157424927,0.0058476924896240234,,gunshot,0.2841925323009491,0.048198357224464417,1.4697629105295713,False,0.0
S0277,0.0,0.0,16.274512422214443,16.54478978289626,0.27027736068181696,16.280200958251953,16.44766616821289,0.1674652099609375,0.9540618151525485,0.9467015238218146,-0.0073602913307339035,,3.2788915634155273,2.8460333347320557,-0.4328582286834717,,gunshot,0.6941229104995728,0.08091132342815399,0.9892654778854326,False,0.0
S0278,0.0,0.0,0.624739557138824,5.416966785250118,4.792227228111294,0.4387398958206177,4.682489395141602,4.243749499320984,0.5882956481291066,0.6230990700055502,0.034803421876443585,,1.0715194940567017,1.1544404029846191,0.08292090892791748,,gunshot,0.729900598526001,0.11478188633918762,1.0466350805209723,False,0.0
S0281,0.0,0.0,-1.323417287954133,8.370837487055532,9.694254775009664,-1.1666346788406372,8.040519714355469,9.207154393196106,0.5624817226049021,0.48739519256266967,-0.07508653004223248,,1.228835940361023,1.262399435043335,0.03356349468231201,,gunshot,0.6028793454170227,0.049875300377607346,1.0287143823647698,False,0.0
S0295,0.0,-0.0,0.5685826938907712,4.940525567533166,4.371942873642395,0.4964789152145386,4.327845573425293,3.8313666582107544,0.8103407392757264,0.8046656490959205,-0.005675090179805831,,1.2599115371704102,1.1964023113250732,-0.06350922584533691,,helicopter,0.38534286618232727,0.06415799260139465,1.0803497536074793,False,0.0
S0296,0.0,0.0,1.2679193246502893,5.5642950289683055,4.296375704318017,0.4436713755130768,4.15525484085083,3.7115834653377533,0.5757304212548057,0.6477625410971172,0.0720321198423115,,1.0386931896209717,1.2500334978103638,0.2113403081893921,,helicopter,0.8082147240638733,0.13051360845565796,0.8376218807482049,False,0.0
S0305,0.0,0.0,0.20994883880326437,7.632448767295048,7.422499928491784,0.30392134189605713,6.996796607971191,6.692875266075134,0.8286834350730728,0.871821090818421,0.043137655745348114,,1.4287559986114502,1.4664912223815918,0.0377352237701416,,helicopter,0.6882389187812805,0.09244741499423981,0.990667286005307,False,0.0
