sample_id,target_snr_db,metadata_measured_snr_db,noise_category,waveform_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,input_si_snr_db,output_si_snr_db,si_snr_improvement_db,input_stoi,output_stoi,stoi_improvement,input_pesq,output_pesq,pesq_improvement,rms_ratio_enhanced_over_clean,clipping_pct,valid_percep,inference_sec
S0742,15.0,15.0,siren,17.4839,19.1811,1.6972,17.4705,19.2139,1.7433,0.972226,0.973168,0.000942,2.018644,2.081338,0.062695,1.009318,0.0,1,0.0288
S0749,15.0,15.0,siren,18.052,23.1571,5.1052,18.1698,23.6658,5.4961,0.924241,0.906468,-0.017773,1.716249,2.951781,1.235532,0.974347,0.0,1,0.0243
S0751,15.0,15.0,siren,14.9428,18.514,3.5712,14.9676,18.4812,3.5135,0.921309,0.917818,-0.003491,1.499116,2.256031,0.756915,1.002524,0.0,1,0.0263
S0774,15.0,15.0,gunshot,14.8324,6.495,-8.3374,14.8657,5.5358,-9.3298,0.999852,0.939438,-0.060414,4.60401,2.89707,-1.70694,0.808787,0.0,1,0.0243
S0784,15.0,15.0,gunshot,17.7926,20.8552,3.0626,17.7822,20.8924,3.1102,0.958148,0.960204,0.002056,2.176245,2.302542,0.126297,1.007609,0.0,1,0.0244
S0787,15.0,15.0,gunshot,15.8422,20.8308,4.9887,15.8424,20.8318,4.9894,0.994365,0.985524,-0.008841,2.797586,2.910073,0.112487,1.0042,0.0,1,0.0258
S0788,15.0,15.0,gunshot,16.9247,19.2088,2.2841,16.8374,19.2002,2.3628,0.920926,0.929813,0.008888,1.433695,1.720199,0.286504,0.983143,0.0,1,0.0231
S0794,15.0,15.0,helicopter,21.6509,22.4936,0.8427,21.6405,22.6193,0.9788,0.979478,0.981271,0.001794,3.052441,3.126077,0.073635,1.011073,0.0,1,0.0299
S0810,15.0,15.0,helicopter,11.6556,21.1697,9.5141,11.6443,21.2589,9.6146,0.902022,0.861405,-0.040618,2.169803,2.632682,0.462879,1.010801,0.0,1,0.0331
S0814,15.0,15.0,wind,14.109,20.417,6.3081,14.0887,20.4445,6.3558,0.980591,0.987156,0.006564,1.611513,2.711622,1.100109,1.007259,0.0,1,0.0272
S0829,15.0,15.0,wind,15.3406,20.3105,4.9699,15.3127,20.2873,4.9746,0.933702,0.952634,0.018932,2.551822,2.844305,0.292484,1.000995,0.0,1,0.0232
S0855,20.0,20.0,armored_vehicle,26.014,27.5828,1.5687,26.0157,27.5852,1.5694,0.947108,0.94877,0.001662,2.753488,3.01466,0.261172,1.000653,0.0,1,0.0286
S0857,20.0,20.0,armored_vehicle,21.4373,22.7375,1.3002,21.4788,22.8147,1.3358,0.954593,0.956109,0.001515,2.236851,2.315202,0.078351,1.007395,0.0,1,0.0284
S0871,20.0,20.0,artillery,17.7543,19.5246,1.7702,17.7223,19.4979,1.7756,0.775639,0.799898,0.024259,2.04229,2.341838,0.299547,1.001903,0.0,1,0.0286
S0892,20.0,20.0,drone,25.498,16.7291,-8.7689,25.4963,16.666,-8.8302,0.975098,0.938822,-0.036276,3.086603,3.599913,0.51331,0.97742,0.0,1,0.0235
S0902,20.0,20.0,drone,21.3614,21.5373,0.1759,21.3798,21.5558,0.176,0.997039,0.993352,-0.003687,2.941173,3.032645,0.091472,1.005189,0.0,1,0.0257
S0921,20.0,20.0,siren,20.5285,23.5333,3.0048,20.5371,23.6927,3.1557,0.893674,0.917905,0.024231,1.914662,2.717394,0.802732,1.011207,0.0,1,0.0266
S0944,20.0,20.0,gunshot,21.0986,21.8172,0.7186,21.1116,21.8824,0.7709,0.983661,0.977465,-0.006196,2.350138,2.844553,0.494415,1.008568,0.0,1,0.0259
S0946,20.0,20.0,gunshot,21.392,24.4016,3.0096,21.4011,24.4495,3.0485,0.993126,0.990506,-0.00262,3.357265,3.72266,0.365395,1.005469,0.0,1,0.0282
S0952,20.0,20.0,gunshot,19.8524,23.6379,3.7855,19.8506,23.6468,3.7962,0.983542,0.959558,-0.023983,3.703144,3.803472,0.100327,1.002809,0.0,1,0.0249
S0988,20.0,20.0,wind,20.1588,22.1154,1.9567,20.1819,22.2582,2.0762,0.994374,0.99306,-0.001313,3.135302,3.439868,0.304566,1.012332,0.0,1,0.0283
S0990,20.0,20.0,wind,22.1514,17.7243,-4.4272,22.1488,17.6603,-4.4885,0.975286,0.953722,-0.021564,1.957795,2.340971,0.383175,0.997597,0.0,1,0.0311
