sample_id,target_snr_db,metadata_measured_snr_db,waveform_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,input_si_snr_db,output_si_snr_db,si_snr_improvement_db,input_stoi,output_stoi,stoi_improvement,stoi_skip_reason,input_pesq,output_pesq,pesq_improvement,pesq_skip_reason,noise_category,max_amplitude_enhanced,rms_enhanced,rms_ratio_enhanced_over_clean,clipped_for_wav
S0281,0.0,0.0,-1.323417287954133,-5.249914072441106,-3.926496784486973,-1.1666350364685059,6.848726749420166,8.015361785888672,0.5624817226049021,0.5481004251195641,-0.014381297485338007,,1.228835940361023,1.3413912057876587,0.11255526542663574,,gunshot,0.47726818919181824,0.04229835793375969,0.8724344280121406,False
S0295,0.0,-0.0,0.5685826938907712,-5.224669458805487,-5.793252152696258,0.496478408575058,4.324530601501465,3.828052192926407,0.8103407392757264,0.7917537323455516,-0.018587006930174788,,1.2599115371704102,1.2785710096359253,0.018659472465515137,,helicopter,0.3190682530403137,0.05314311757683754,0.8948714205690673,False
S0296,0.0,0.0,1.2679193246502893,-4.01576272144671,-5.283682046096999,0.4436713755130768,3.811596632003784,3.3679252564907074,0.5757304212548057,0.6541317910675577,0.07840136981275203,,1.0386931896209717,1.1790834665298462,0.1403902769088745,,helicopter,0.6342993378639221,0.10159052163362503,0.651996713628978,False
S0305,0.0,0.0,0.20994883880326437,-5.057821265273505,-5.267770104076769,0.30392178893089294,7.1859540939331055,6.8820323050022125,0.8286834350730728,0.879962379464207,0.05127894439113412,,1.4287559986114502,1.495365858078003,0.06660985946655273,,helicopter,0.5828343033790588,0.07731491327285767,0.8285072687487255,False
S0314,0.0,0.0,5.794018385580829,-5.154234702703282,-10.948253088284112,5.870899677276611,11.499591827392578,5.628692150115967,0.8282355744430191,0.8572751185991987,0.029039544156179598,,1.2283670902252197,1.6842820644378662,0.4559149742126465,,wind,0.3883369266986847,0.050297096371650696,0.8254067970738678,False
S0324,0.0,0.0,3.404307308527264,-5.158841779581045,-8.56314908810831,3.4000768661499023,13.595751762390137,10.195674896240234,0.8495841282137738,0.8636066504120303,0.014022522198256504,,1.3209004402160645,1.432909369468689,0.11200892925262451,,wind,0.27362802624702454,0.04085727035999298,0.8206599481004874,False
S0326,0.0,0.0,1.8447335589336995,-3.8820496350938836,-5.726783194027583,0.031078536063432693,9.795960426330566,9.764881890267134,0.7660482369664924,0.7918308649418475,0.025782627975355132,,1.2355045080184937,1.4568853378295898,0.2213808298110962,,wind,0.6193683743476868,0.07790864259004593,0.5814940274138598,False
S0332,0.0,-0.0,1.4416085528354838,-3.9473378157715406,-5.388946368607025,-0.600165069103241,5.732513427734375,6.332678496837616,0.7000287031751661,0.7146936088100666,0.014664905634900527,,1.2582627534866333,1.3911596536636353,0.13289690017700195,,wind,0.5073518753051758,0.09682856500148773,0.618558874727228,False
S0340,5.0,5.0,1.273459364838653,-4.710823862005865,-5.984283226844518,1.0664098262786865,6.805849552154541,5.7394397258758545,0.5837611941745849,0.6867957686759294,0.10303457450134446,,1.1634899377822876,1.2304202318191528,0.06693029403686523,,armored_vehicle,0.4386456310749054,0.062651626765728,0.7595172701736014,False
S0342,5.0,5.0,0.6950414251867876,-4.81346721709468,-5.508508642281468,1.0267304182052612,3.917510986328125,2.8907805681228638,0.7623249519999817,0.684453199885562,-0.07787175211441977,,1.272281289100647,1.2196694612503052,-0.0526118278503418,,armored_vehicle,0.022969312965869904,0.0029255137778818607,0.8121011673336839,False
S0356,5.0,5.0,12.57752363565654,-5.21868334246605,-17.79620697812259,12.563535690307617,15.804057121276855,3.2405214309692383,0.9210940240267768,0.9381281241185678,0.01703410009179107,,1.51678466796875,1.50400972366333,-0.012774944305419922,,armored_vehicle,0.34485578536987305,0.06544581800699234,0.8294712133173989,False
S0370,5.0,5.0,7.166657469607185,-5.163159381070726,-12.329816850677911,7.186532020568848,14.56748104095459,7.380949020385742,0.8362493077769668,0.9108221950692317,0.07457288729226486,,2.119549512863159,2.6978659629821777,0.5783164501190186,,artillery,0.41301512718200684,0.04172492399811745,0.8196848350172279,False
S0377,5.0,5.0,8.111608304269343,-5.233897152871899,-13.345505457141241,8.185070991516113,8.156100273132324,-0.028970718383789062,0.9041024330446976,0.8944756448539306,-0.00962678819076701,,1.6243807077407837,1.5851192474365234,-0.039261460304260254,,artillery,0.208249032497406,0.02952640689909458,0.8588821457633924,False
S0389,5.0,5.0,5.912534758454308,-5.110154830645608,-11.022689589099915,5.928475379943848,8.45847225189209,2.529996871948242,0.9109226100759161,0.897761257527135,-0.013161352548781147,,1.1762332916259766,1.3880817890167236,0.21184849739074707,,drone,0.18814824521541595,0.03244306519627571,0.8304724561811264,False
S0402,5.0,5.0,4.856409844338118,-5.203802505221659,-10.060212349559777,4.873281478881836,16.712799072265625,11.839517593383789,0.9198239733236885,0.9210176705791068,0.0011936972554182912,,1.5504059791564941,2.3286080360412598,0.7782020568847656,,drone,0.2424510270357132,0.025711018592119217,0.8252490185347572,False
S0416,5.0,5.0,2.9388433010204142,-4.169966536899618,-7.108809837920032,2.9746832847595215,4.147053241729736,1.1723699569702148,0.8934766430248692,0.8545391165218277,-0.0389375265030415,,1.3377130031585693,1.2891170978546143,-0.04859590530395508,,siren,0.06006424501538277,0.011031363159418106,0.6780656547961993,False
S0418,5.0,5.0,3.794060062511686,-4.932292910460619,-8.726352972972306,3.7865588665008545,9.250608444213867,5.464049577713013,0.6786771658531152,0.7136492179471002,0.03497205209398502,,1.2666447162628174,1.3113281726837158,0.04468345642089844,,siren,0.042401108890771866,0.004633814562112093,0.7887311695910244,False
S0424,5.0,5.0,5.600380669450113,-5.1211030612721835,-10.721483730722296,5.623918533325195,13.503636360168457,7.879717826843262,0.7489607325240161,0.7404001037243482,-0.008560628799667902,,1.240899682044983,1.5462114810943604,0.30531179904937744,,siren,0.31814834475517273,0.06700234115123749,0.8129573782486003,False
S0426,5.0,5.0,5.445724046163272,-5.104009341076656,-10.549733387239929,5.433990478515625,12.539806365966797,7.105815887451172,0.6276859995101901,0.6951948760637426,0.06750887655355253,,1.258253574371338,1.7996783256530762,0.5414247512817383,,siren,0.2951546311378479,0.037396788597106934,0.8117283985380824,False
S0444,5.0,5.0,4.804967057695934,-3.8697900615452037,-8.674757119241137,3.3646395206451416,5.8436431884765625,2.479003667831421,0.7626022988023703,0.8221523916988551,0.05955009289648483,,1.1257816553115845,1.334010124206543,0.2082284688949585,,gunshot,0.7037869095802307,0.1177792102098465,0.6029549413333659,False
S0459,5.0,5.0,9.370433355813578,-5.224629345792122,-14.5950627016057,9.359031677246094,17.32067108154297,7.961639404296875,0.9389910972665944,0.9606564590233725,0.021665361756778134,,1.6043803691864014,2.106884002685547,0.5025036334991455,,helicopter,0.3633860647678375,0.06848186999559402,0.8290153912158669,False
S0481,5.0,5.0,4.161616468622983,-5.354444808998765,-9.516061277621748,4.040323257446289,4.732455730438232,0.6921324729919434,0.7664616358327123,0.7058279910188222,-0.06063364481389011,,1.1660513877868652,1.1789278984069824,0.012876510620117188,,wind,0.5394799113273621,0.0864105299115181,0.9180620066026404,False
S0486,5.0,5.0,7.394127774591573,-4.20403713538336,-11.598164909974933,6.5216875076293945,13.745576858520508,7.223889350891113,0.9538100050148245,0.9344012228258904,-0.01940878218893405,,1.3550750017166138,1.5988456010818481,0.24377059936523438,,wind,0.7222275137901306,0.13201670348644257,0.6304958323295482,False
S0515,10.0,10.0,13.247854824921369,-5.182291949381331,-18.4301467743027,13.247444152832031,15.494876861572266,2.2474327087402344,0.8653002485268653,0.8941444558966251,0.02884420736975979,,1.3880579471588135,1.7574514150619507,0.3693934679031372,,armored_vehicle,0.12556368112564087,0.025889215990900993,0.8222410119564891,False
S0523,10.0,10.0,11.335549313338023,-5.099201946458253,-16.434751259796275,11.291776657104492,12.252801895141602,0.9610252380371094,0.9280979491692798,0.9030323118201429,-0.025065637349136916,,2.002808094024658,1.5904266834259033,-0.4123814105987549,,armored_vehicle,0.3389660120010376,0.05638747662305832,0.8115184335072683,False
S0525,10.0,10.0,12.753958868162592,-5.000871999798711,-17.754830867961303,12.742315292358398,13.657468795776367,0.9151535034179688,0.8834131175209321,0.86803126591683,-0.015381851604102104,,1.3863017559051514,1.5183907747268677,0.1320890188217163,,armored_vehicle,0.025193041190505028,0.0038661386352032423,0.7876971264540484,False
S0529,10.0,10.0,9.63073579342483,-4.582485518147256,-14.213221311572084,9.155487060546875,16.938045501708984,7.782558441162109,0.9734564513379772,0.9669735680221162,-0.006482883315860999,,1.999516248703003,2.4595601558685303,0.46004390716552734,,artillery,0.7374627590179443,0.11333386600017548,0.6989293269355552,False
S0532,10.0,10.0,8.654218497008209,-4.546789987343313,-13.201008484351522,8.018272399902344,10.438309669494629,2.420037269592285,0.9119419445716177,0.906316740296572,-0.005625204275045648,,1.793318748474121,1.9143716096878052,0.12105286121368408,,artillery,0.7232732772827148,0.09568119049072266,0.705481779639195,False
S0533,10.0,10.0,9.301021831807256,-5.201668282684642,-14.502690114491898,9.397467613220215,12.755745887756348,3.358278274536133,0.9614164397840201,0.9521344130296818,-0.009282026754338313,,1.708876371383667,2.128814935684204,0.4199385643005371,,artillery,0.49016979336738586,0.06141991913318634,0.831667488035017,False
S0535,10.0,10.0,19.275037044492393,-5.179585546347312,-24.454622590839705,19.22732162475586,20.980804443359375,1.7534828186035156,0.9087654401791552,0.8932695353589823,-0.015495904820172823,,2.0936264991760254,2.0233571529388428,-0.07026934623718262,,artillery,0.8101236820220947,0.12166635692119598,0.8172139687848279,False
S0562,10.0,10.0,11.335481253765007,-5.2399129862684655,-16.57539424003347,11.340362548828125,14.181519508361816,2.8411569595336914,0.9555484631599878,0.9622911732423888,0.0067427100824010155,,2.3134167194366455,2.5592591762542725,0.24584245681762695,,drone,0.459820419549942,0.07713550329208374,0.8365569570330071,False
S0565,10.0,10.0,12.960236489507185,-5.2216393510730725,-18.181875840580258,13.23666763305664,17.307479858398438,4.070812225341797,0.9376397338167969,0.843823451682994,-0.09381628213380289,,2.244194269180298,1.9034199714660645,-0.3407742977142334,,drone,0.1542024314403534,0.019658014178276062,0.828411444267617,False
S0573,10.0,10.0,13.663381744180843,-4.870933939784371,-18.534315683965215,13.665882110595703,16.47591781616211,2.8100357055664062,0.9836030258530056,0.9496725126805581,-0.03393051317244755,,2.3995659351348877,3.129284620285034,0.7297186851501465,,drone,0.5648298859596252,0.13965553045272827,0.7568266931753749,False
